,tweet,labels
18974,sedihkan jadi anak bila dah masuk ipt banyak gila guna duit duit keluar macam air malu nak minta tapi kalau tak minta ,-1
7524,ya itu tadi ajang berkilah barista on trainee cupu yang tidak handal dan tidak asik . itu doang si modus nya ..,-1
23069,vaksin orang covid vaksin virus dunia semenjak hidup virus berbahaya contohnya virus kedengkian virus kehancurnya ahklak bangsa,-1
16741,aku sedih lah first time ni ada customer request camni ,-1
10355,salah satu tempat hang out yang cukup tren di kalangan anak muda bandung . nyaman . jangan lupa ada promo smirnof murah selama mei 2014 .,1
6542,aduh jangan sok baik deh main undang pak presiden segala . mau mengusung ah jadi wakil presiden ? tak akan berhasil itu .,-1
21215,semangat ya nder gausah urusin replynya itu hak kamu milih yg terbaikemoga kedepannya otak kamu gak didengkul lagi yha,1
9334,"saya sudah kecewa dari awal pilpres 2014 , kami berharap waktu itu demokrat ikut memenangkan prabowo , tapi kenyataan nya sangat mengecewakan dengan sikap abu-abu nya , termasuk juga di pilkada jakarta kemarin , demokrat terkesan memaksakan ahy , jadi politik dinasti kesan nya .",-1
17240,cuuukkkk mbak ya allah pengen misuh ngekek ,-1
1482,masakan restoran rata rata tidak enak,-1
6645,"enak banget . ayam goreng nya sedap mantaap , harga juga terjangkau . pokok nya bakalan balik lagi saya ke sini .",1
1404,bosan . harga mahal pelayanan lama .,-1
4308,apa guna nya menyatu dengan indonesia jika indonesia tidak menghargai bali dan warga nya ?,-1
9963,"poin besar nya hanya tentang tempat ini adalah memiliki suasana yang baik . sisa nya rata-rata dan bahkan lebih rendah dari itu . dibutuhkan begitu lama untuk pelayan mereka untuk mengambil pesanan kami , dan bahkan untuk melayani . mereka memiliki banyak menu , tetapi kebanyakan dari mereka adalah makanan sisa akhir pekan .",-1
22008,astagfirulllah biadab sekali apa ini ada hubungannya dengan dana triliunan yg hilang atau masalah lain sam ,-1
21670,jika kamu ingin seseorang percaya padamu hal pertama yg harus dilakukan adalah meyakinkan mereka bahwa kamu mempercayai mereka ,1
2839,"fpi ormas radikal harus di musnahkan dari bumi nusantara ! fpi pengacau keamanan dan ketertiban mengatasnamakan agama islam ! padahal ormas para cecurut di bawah naungan banci kaleng , rizieq penyuka daster . pencabul wanita bukan muhrim nya ! tabiat menjijikkan . junjungan orgil",-1
19598,apa kalian menyadarinyaeberapa keras our leader berusaha agar bisa memberikan pidato terbaiknya lets proud of our leade ,1
7591,pizza yang paling digemari itu yang tipe cheesy bites . selalu pilih yang tuna mayo . walau kulit nya tebal tapi rasanya enak dan sesuai lidah orang indonesia .,1
1381,"saya menyempatkan diri untuk makan siang di tempat ini . jalanan cukup macet saat itu sehinga perut sudah cukup keroncongan waktu sampai di sini . tempat makan di bandung yang saya coba biasanya memberikan paket makanan , walaupun tulisan nya cuma satu jenis pada daftar menu , jadi sebaiknya tanya ke pelayan agar tidak salah memesan makanan . makanan di sini sungguh enak , saya memesan paket ikan gurami dengan cumi .",1
455,suki nya enak . beli 10 gratis 1 . harga terjangkau . bisa pilih dua macam kaldu .,1
3068,waktu mengunjungi bandung saya menyempatkan diri untuk menikmati makan malam di warung steak karena lokasi nya tidak jauh dari hotel tempat saya menginap . menu yang saya pesan adalah daging steak terderloin dengan minuman milk shake dan secara umum menurut saya cita rasa makanan nya lumayan enak dan harga nya juga ekonomis .,1
8118,"hotel keren dengan konsep turun ke bawah bukan naik . unik sekaligus top markotop . makanan nya endus , jacuzzi nya menyamann . hotel yang direkomendasikan banget deh",1
15216,tapi kmu sudah tak seperti dulu skrg suka tidur duluan dan aku sangat kecewa ,-1
2325,gojek sudah berusaha adil untuk driver nya masalah cancel order eh malah dimanfaatkan oleh driver-driver tidak bertanggung - jawab .,1
6535,cerahkanlah orang-orang yang pikiran nya sempit ini . kesal ih baca nya,-1
8643,"driver mengambil rute yang memutar sangat jauh , tidak sesuai dengan peta , kacau sekali",-1
19360,ayo bangkitaya yakin kalian masih kritis di tengah gempurn dan pembukaan masih ada harapan untuk bangkit jangan ,1
23452,vaksin covid covid vaksin berbeda tujuan mengurangi penduduk dunia milyar covid vaksin proyek dunia kenda,-1
15683,hahahahah jangan tanya kenapa aku suka dia ,1
4894,jokowi tidak suka sebar isu bohong,1
21703,by kita di grebek,-1
7654,"terima kasih , kang emil , bandung makin juara .",1
2610,tempat yang cocok untuk melepas dahaga setelah berbelanja di factory outlet merdeka . dibuat dari buah segar dan harga yang tidak terlalu mahal,1
12105,cabe rawit resto termasuk pemain lama yang masih bertahan sampai sekarang . sejak 2002 . kebayang kan banyak pelangga nya secara keseluruhan baik menu nya komplet : - makanan indonesia - orang cina makanan - sea makanan - europe - bandung makanan ringan secara keseluruhan baik taste nya oke . harga lumayan tinggi dibanding lai nya tempat : interior sederhana tanpa ac tapi tidak panas hawa nya . di bawah pohon rindang smooking dan tidak smooking area dipisahkan musala tersedia .,1
6088,"dia itu tidak sadar-sadar sejak 2014 , bahwa si prabowo itu tidak ada apa2 nya dan tidak bisa apa-apa , tapi masih terus saja digadang-gadang jadi capres",-1
11972,"rasa mi di sini bisa dikatan enak sekali , meski di pinggiran ruko tapi soal rasa tidak kalah dengan rasa restoran mewah . dengan kikil yang lumayan banyak dan harga nya yang lumayan murah .",1
22313,mmg dalam hidup ni semua benda kita tak boleh expect too much nnt kita sakit too much jugak since aku dah hadap ,-1
9581,"stayed untuk 3d2n di premier room , dapat complimentary afternoon tinggi itu yang makanan ringan nya enak enak , tradisional makanan ringan nya tidak ada yang tidak enak . suami suka yang manis dan saya suka yang asin klop ! malam nya order lasagna dan pizza , sambil menunggu makanan sampai dapat roti yang bisa mengganjal perut yang kena udara dingin bandung hihi . begitu sampai , makanan nya enak .",1
3649,"kalau prabowo jadi presiden indonesia tahun 2019 , indonesia bakal punya masa depan yang cerah .",1
14278,wkwkwkw yaallah derp pisan tp gpp anw amiiiin thank you and goodluck ,1
20670,duka palu dan donggala adalah duka kita semuaemoga semua cepat teratasi rahayu pak semoga allah selalu me ,-1
6271,jual kukusan kue jadul murah,1
18712,telkomsel imamsukaaa hai mas imam mohon maaf atas ketidaknyamanan yang dialami terkait keluhan tidak dapat akt ,-1
10557,"pelayanan ramah , suasana nya enak benar benar seperti di rumah . kalau datang siang hari di hari biasa enak sekali kosong . makanan nya juga enak , saya mencoba chicken cordon bleu mantap . secara keseluruhan baik enak untuk semuanya",1
9361,tempat nya sangat romantis dan nyaman . dengan suasana yang sangat nyaman dan pelayanan yang baik . makanan sangat enak dengan harga yang reasonable . sangat ingin kembali ke sini menikmati suasana sore nya . secara keseluruhan baik sangat bagus !,1
1727,salah satu kafe yang mengusung tema shabby . menyenangkan baik untuk yang sudah berkeluarga ataupun pasangan . ada menu spesial di sini yang cukup menarik . disarankan anda membawa beberapa teman untuk membantu anda menghabiskan nya . justru disitulah keseruan terjadi . yup cobalah menu burger hitam super besar kira-kira berdiameter 16 cm .,1
23799,depok kota penerima vaksin covid kemarin dengar gereja lihat rcti gubernur jawa barat mengomong,1
21843,penyebar hoax ujaran kebencian pengedit situasi hanya dipanggil dan ditahan bila pelakunya bukan projo percaya buk ,-1
11282,ui umat iblis . tidak malu sama putra papua yang belajar di antara rimba hutan tapi mempunyai otak bersih .,-1
14281,hahaha sedih kan nak tunggu aku cantik mcm artis yg dia minat ke cmne baru dia nak pandang aku ,-1
1414,"saya memesan sausage , steak , mushroom soup , iced banana chocolate . si sausage ini di kasih 2 sama side dish mashed potato . gila asiiiiin sekali sampai saya gakuat makan nya dan tidak habis , padahal saya sudah gelapkan itu asin pakai tisu . si steak ini saya pesan baik dong dan agak alot begitu daging nya . mushroom soup ini biasa banget .",-1
6475,fpi belum bubar ya . jika terus-terus buat rusa basmi majalah di nkri daripada pusing . kita ada penegak hukum,-1
13035,aku ingatkan gagal tadbir negara dengan elok je dia salahkan bn nak bertanding kepentingan parti sendiri pon salahkan bn ,-1
23355,ayo melaksanakan vaksin covid badan kenal lawan kebal thd virus bakteri,-1
20057,kiara kiara siapa kamu selingkuh y ,-1
13628,ajarin aku bahagia,-1
927,"kedai nyonya rumah di jalan naripan bandung , kafe cukup besar , dan makanan dan minuman nya sih okok saja , juga di depan toko tersedia kue-kue dan roti dan macam kue , di sebelah toko ada juga dunkin donat , bisa sekalian pesan dan nikmati di dalam .",1
10099,aku 100 % tidak suka dan tidak akan memilih jokowi .,-1
23227,kabar teman singapura menunda penggunaan vaksin influenza menghambat pandemi corona,-1
13459,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz ,1
4404,habis nya aku lagi galau kak maka dari itu bikin story kayak begitu,-1
1933,"ah metro tivu , berita dibuat-buat sangat tidak berkualitas",-1
4333,lokasi yang mudah dijangkau dan areal parkir cukup luas menjadikan rumah stroberi menjadi pilihan saya untuk menyegarkan bersama keluarga . kebun stroberi cukup luas dan banyak sehingga cukup banyak pilihan bagi kita untuk memilih buah stroberi yang segar . cita rasa kuliner menurut saya not badlah stroberi milik shake boleh dicoba karena menjadi minuman favorit saya untuk melepas dahaga .,1
11483,inilah bukti bahwa kristen adalah ajaran yang sangat sesat pasti kalian orang-orang kristen memeluk agama kristen hanya ingin masuk surga kan ?,-1
3379,menyesal gua beli spotify premium hari ini,-1
10529,"oh , maaf saya tidak tertarik sama power balance .",-1
7642,tempat makan yang enak dengan suasana bangunan zaman lama tapi yang bikin kaget itu harga mi yang mahal dan bikin kaget kunjungan saya berserta keluarga ke sini kita pesan 3 mi ayam bakso 1 mi ayam 2 es jeruk . bakal berpikir dua kali buat ke tempat itu lagi .,-1
5228,kalau berbohong itu jokowi dan cebong ahli nya . hayo sapa lagi yang mau menambahkan,-1
7232,"kang dedi tandeman sama deddy sosis , hm , tidak setuju itu ide bagus yang ada kebalikan nya",-1
9899,enak buat nongkrong berdua wayang ataupun berkumpul bareng teman . suasana nya enak . desain ruangan nya juga nyaman banget . makanan nya juga enak . yang unik adalah minuman2 nya yang kebanyakan menggunakan madu sebagai pemanis . sesuai dengan nama resto nya beehive .,1
23366,lembaga pasteur terlibat pembuatan vaksin vaksin rabies vaksin polio vaksin covid,-1
1376,"hai anjing-anjing kalau saja kalian jantan pergi yaman sono berjihad , jangan bikin kacau dalam negara sendiri , dasar kalian isis indonesia .",-1
22436,mari bersama kita sukseskan pileg dan pilpres 2019 aman damai dan sejukatgasnusantaraatgasnusantarakaltim pol ,1
21331,kamu kayak baking soda bikin senyumku ikutan mengembang,1
22862,ucul angeet kita beb ,1
2083,"dulu nama hotel nya bilique . restoran nya balcony , yang paling saya ingat sop buntut dan nasi tutug nya . tempat makan nya tersedia pribadi room dan menu nya enak dan berkualitas membuat ingin kembali berkunjung .",1
12633,misalnya ada suatu kondisi dmn aku bnran lg galauin km trus km ngetweet galau seolah2 itu buat aku padahal buat org lain itu babi namanya ,-1
2184,"sushi origami berlokasi di jalan ganesha , depan warung pasta . buka nya agak sore menjelang magrib , / - 17.00 wib . sushi origami memilki konsep food truck red : suhsi on pick up . harga nya relatif standar . hanya oke to mahasiswalah ya hmm . spicy salmon sushi cocok untuk buka puasa :",1
11894,"oknum polisi anjing . sudah biasa oknum polisi-polisi di indonesia seperti ini . hanya agar mendapat kan pangkat , uang dan ke populeran . orang-orang tak bersalah di jadikan korban keluarga orang-orang tak bersalah jadi menderita . sementara oknum polisi-polisi anjing babi berfoya-berfoya bersama anak , istri dan keluarga . sudah sering terjadi di indonesia seperti ini , maka dari itu pada seperti semua oknum-oknum polisi sekarang",-1
3236,"orang suka makan di sini karena rasanya cukup lumayan dan murah . makanan murah variasi makanan banyak rasanya enak - tempat nya tepat di pinggir jalan dan di atas got , tidak higienis tempat makan nya kecil , tidak ada meja harus menunggu minimal setengah jam hingga mendapatkan makanan",1
22272,kamu harus tahu tanda tanda kalau temanmu ternyata itu fake friend yang wajib kamu jauhi ini tanda tandanya 1 pertemanan ,-1
5822,"saat hari libur , harus sabar antre karena pengunjugn nya banyak . batagor nya enak degan bumbu kacang yang pas . namun harga nya relatif lebih mahal dibanding batagor lainnya . parkir nya agak susah karena berada di pinggir jalan dan tidak punya lahan parkir sendiri",1
10164,"salah satu restoran yang saya rekomendasikan di trans studio mal trans stusio mal , cocok untuk makan siang / malam bersama keluarga . makanan nya sehat , bergizi , segar dan memiliki cita rasa yang nikmat . menu nya memang mirip dengan hidangan yang disajikan di resto sejenis .",1
9839,"kafe ini menyediakan variatif makanan yang cukup banyak dan terdapat pilihan pasta , pizza , dan beragam makanan penutup . rasanya enak dan suasana kafe tenang , luas , dan nyaman . bisa jadi pilihan untuk menghabiskan waktu bersama teman atau untuk urusan bisnis .",1
13916,mung selalu fikir negative buat apa weh aku bukan jenis macam tu setan,-1
6919,by the way agak dikit menyesal sih beli binder di deoni dan tadi ke gramed harga nya beda dikit doang dan warna nya macam-macam .,-1
5186,"malam minggu di saat semua resto penuh akhirnya kami masuk ke the kiosk di braga city walk . suami saya pesan nasi goreng enak banget , saya pesan soto sulung juga enak .",1
10334,indonesia dan jiwa-jiwa penduduk nya yang bangga . bravo garin ! sinematografi nya mantap . musical score nya keren .,1
16775,allahswt itu adil kokuatu saat nanti orang yang udah nyakitin kamu akan merasakan rasanya disakitin mungkin dgn yang lebih parah ,1
7633,"makan di tempat ini tanggal 17 oktober malam saat menginap di kota bandung , lokasi nya sangat strategis berada di jalan braga yang cukup ramai . kami sekeluarga memesan nasi dengan bebek goreng yang disajikan dengan kol yang digoreng tepung dengan sambal yang menurut saya sangat pedas sampai berkeringat walau cuaca bandung cukup sejuk . rasa bebek nya lumayan enak , untuk harga relatif masih terjangkau .",1
17276,hapi aku gt ,1
10506,"gaduh , menyesal banget dilahirkan sama wanita pecundang . punya ibu rasanya seperti punya pembantu .",-1
22156,aku yang lucu tauuuu yaallah orang mah dianggep jahat aja cey jangan mau dibegoin terus terusan c ,1
16145,sembang macam aku tak penat keluar duit bila aku bagi duit cakap aku nak tutup mulut bila aku tak bagi duit kata ,-1
7719,"pilihan makanan nya beragam , bikin ingin ambil semuanya . yang unik tentunya karena dimakan tanpa piring , alias beralaskan daun . rasanya pun lumayan enak",1
7461,"megawati sebentar lagi ditubruk sama banteng nya sendiri , kita lihat saja .",-1
20353,melihat diskriminasi hukum yg sangat parah antara anak pribumi dg anak cina radikal yg sangat melukai nurani bangsa s ,-1
9299,pertama kali menikmati mi naripan di kota bandung cukup berkesan bagi saya . mie nya enak dan potongan daging babi cincang nya juga gurih . apalagi ditambah dengan pangsit kuah nya yang lezat .,1
12313,pacar kamu sibuk ya kok tumben komen wassap story aku ,-1
1956,toloong dengan sangat ya . saya benar benar marah melihat indosat kayak gini,-1
6812,"1 . makanan khas sunda 2 . rasanya enak 3 . harga pas di kantong 4 . nuansa tempo dulu 5 . direkomendasikan nasi liwet , empal dan abon nya",1
20352,bila aksi rekan kita kalian anggap sebagai perbuatan tercela dan menghina maka coba tengok apa yang telah aparat selama ini ,-1
335,"kebetulan saat menginap di sini kami kedatangan tamu . malas keluar lagi , akir nya ke resto sini masih buka sampai jam 10 malam dan pesan kopi nya pun enak",1
19792,hmm nanti tak dak duit nak kawin kenapa kita dah tua hahaha,1
1763,"bu risma , saya rindu ibu , saya senang bisa memiliki pemimpin seperti ibu",1
3466,ujian matematika tadi sulit pakai banget,-1
10455,was minggu ini diawali dengan kemacetan di tol cikampek - Jakarta dan pancoran . h senin yang menyebalkan .,-1
1505,mau cari tempat di luar ya di sini pasal pas banget pilihan makaanan cukup banyak hanya saja agak ribet kalau pesan banyak dan tidak di satu kios karena pasti menunggu pembayaran dulu harga cukup lumayan tapi paslah,1
10838,"lama-lama di sini gua bisa hipertensi ngadepin pasien bpjs , bayar tidak seberapa tapi mau pelayanan eksekutif dan ngomel-ngomel , naik kereta saja kalau mau yang eksekutif",-1
21307,semakin kamu menolak kenyataan semakin datang dia tanpa perasaan ,-1
7050,"kami makan di bakmi aloi cabang grogol seberang trisakti . seperti biasa , rasa bakmi nya kenyal dan daging babi nya manis . rekomendasi porsi 1,5 biar tidak lapor .",1
18277,sadumuk bathukanyari bumi ditohi pati harga diri dan kehormatan sudah selayaknya dijunjung serta dijaga bahkan ny ,1
625,"variasi suki macam-macam , kuah suki enak , apalagi kuah tomyam nya . dimsum nya enak , semua direkomendasikan . soal harga lumayan di atas rata rata . tapi sesuai dengan kualitas rasa .",1
4803,cemas,-1
16094,aku senanya kesian dekat kau member aku budak sts yang terserempak dngn kita masa tgk munafik2 semua kata kau gemok ,-1
7119,"setelah bermacet-macet arus balik , istirahat di sini nyaman banget . tempat nya nyaman , pelayanan nya bagus , ramah dan cepat . makanan dan minuman nya enak",1
2174,"pertama kali datang di sini cukup ramai di hari minggu siang hari . tempat ini terkenal dengan ada nya tempat duduk di luar berbentuk kolam air kecil , dan cukup bagus untuk berfoto ria apabila sepi banyak spot bagus . kualitas makanan di sini cukup enak dan tidak mahal-mahal amat . dan pelayanan di tempat ini cukup cepat walaupun dalam keadaan ramai .",1
8908,"makanan nya cukup enak , boleh coba nasi goreng rumah nenek , hanya tempat perlu direnovasi karena suasana agak gelap dan bangunan sudah cukup lama , sebaiknya dibuka saja bagian depan agar lebih terang",1
13898,aku kat sini mencarut carut sieyy hahahahahahahhhahaha,1
1061,"terong ras nya enak , rupanya terong yang digoreng tepung dan diberikan bumbu-bumbu . sop buntut nya juga enak . servis cukup cepat . direkomendasikan !",1
17330,ini adalah thread review aku tentang munafik2 ,-1
2783,"salah satu chinese makanan legendaris di bandung . tapi saya sangat suka masakan kepiting nya , andalan nya kepiting saos padang . bumbu nya mantap kepiting nya mantap . kepiting nya kepiting pilihan . jadi daging nya banyak , tidak menyesal bayar agak mahal . sup asparagus nya juga mantap . kalau berdua bisa pesan porsi setengah .",1
10033,"kata nya menolak bantuan pemerintah dan mau berangkat dengan uang sendiri , sementara donasi sudah terkumpul 200 jutaan kok malah tidak ikutan sih ? apa itu hanya pencitraan ?",-1
4101,tumben waras nih ustaz gila dan sesat,-1
12349,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp ,-1
275,jika kita biarkan manusia busuk ini hidup di negara kita . bisa-bisa negara kita benar-benar bubar .,-1
6838,"untuk hotel nya jika kita sudah sampai di sana baru akan dipos . hotel nya bagus , fasilitas nya wah = pasti tidak bakal mengecewakan",1
14991,geram lahh aku dah tulis kat whiteboard ada orang pergi padam nanti kang cakap aku tak buat kerja ,-1
20467,ini baru sikit kalau nak compare dgn tsunami yg jd dkt negara jiran semuaemoga allah lindungi kita ,1
8544,kalau malam . suasana nya nyaman . romantis . cocok untuk bawa pasangan . poko nya coba deh ajak pasangan kamu .,1
8867,"bikin rusak pemandangan , becak kumuh , bikin amburadul . anis ini semua kebijakan bikin jakarta sengsara , ini ibukota malu lihat pemandangan jorok . amburadul tidak karuan apa tidak malu sama ahok yang cerdas pintar menangani jakarta .",-1
4415,"untuk makanan sunda beragam hanya saja minyak terlalu banyak , gurame goreng tidak enak karena tidak digoreng garing . juice yang ditawarkan terlalu banyak air dan kurang segar",-1
8816,"bingung mau makan di mana , pilihan akhir kepengen coba resto jadoel , yang selama cuma sempat dimelewati . mengandalkan ulasan pengunjung lain , mencoba pie ayam nya . enak . suami suka ikan dan mau nya pedas . pilih salmon shecuan . mantap ah . porsi besar . puas .",1
6010,"pertama kali ke sini hanya dengan suami dan anak , kata orang makanan nya mahal dan tidak enak-enak amat , ternyata ketika saya ke sana , masih banyak pilihan menu murah meriah dan cukup enak , dengan suasana pinggir kali , cocok untuk keluarga , kalau malam sebaiknya pakai sweater karena udara cukup dingin .",1
3599,maklum sesama maling harus saling melindungi . jadi yang dimasalahkan adalah soal prosedur dan bukan substansi bahwa anggota dewan tertangkap tangan terima sogokan .,-1
20768,mangkal mas mangkal ah humor kita ga sama nih kita putus ya ,-1
5407,"pelayanan bank bca sunset road bali jelek banget , apalagi customer service nya . payah bca !",-1
6379,"banyak pilihan menu yang unik dan enak . kebetulan waktu itu saya pergi per-6 bersama teman-teman sma saya . kami memilih untuk mencoba beraneka camilan yang dijajakan di sana . dari banyak sekali camilan yang dijajakan kami mencoba kue balok . kue balok ini disajikan setengah matang dengan beraneka varian isian seperti keju , pandan , green tea , lemon , dll.",1
8965,"apa bahaya nya ketika prabowo menjadi presiden ? dari banyak hal negatif , saya ambil beberapa contoh , misalnya dendam terhadap media . dia mempermalukan wartawan hanya karena dia menganggap wartawan yang mewawancarai dia berasal dari media yang tidak netral .",-1
2989,"salah satu andalan menu kfc yang suka itu adalah menu gocengan nya , atau tidak rice kotak . selain murah meriah , enak juga . saya paling sering beli lychee flat nya .",1
20188,peluk neng balik uwuww ko gemes sik hihh nda mau cium nih nanti di cium changkyun mas na gimana ,1
16657,okay attention doktor report i m free from cancer tak sia2 aku berdoa jaga makan do the healthy activity and la ,1
4460,maka dari itu kualitas anak zaman sekarang seperti ketua bek ui yang kosong otak nya,-1
274,"nunggu nya agak lama . begitu hidangan muncul dan masuk ke mulut , lupa waktu menunggu . steak nya enak . kue-kue , roti jerman nya , juga enak .",1
6633,"pemandangan dan menu yang diberikan oleh tempat ini memberikan kesan yang tak terlupakan . menikmati santap siang dengan dessert yang segar pula ditemani udara segar , pemandangan yang menyerukan mata . selain itu , lawangwangi creative space juga menghadirkan nuansa baru sebagai kafe yang bertemakan art.",1
9791,"di sini disediakan macam-macam nasi goreng dengan nama unik . seperti nasi goreng mafia , nasi goreng triad , nasi goreng brandal . setiap nama memiliki rasa dan bumbu yang berbeda . ada bumbu rempah di dalam nya . pedas nya pas di mulut . harga murah meriah .",1
21849,jika bangun malam menemui rabb saja kamu tak mampu lalu bagaimana cara kamu membangun impian impian itu tausiyahku d ,-1
5528,arti nya presiden ingin kaum muslim tersiksa kan ?,-1
11885,"sepertinya kamera handphone - ku rusak , kenapa kalau saya foto hasil nya jelek semua . tidak bisa dipakai bangga pada diri sendiri - bangga pada diri sendirian .",-1
14017,mb aku emang bangsad maafkan aku ,-1
7614,agak kecewa ketika ada pelanggan yang memberi nomor telepon genggam ke orang lain bukan untuk masalah kerjaan tapi untuk tujuan lain tanpa konfirmasi dulu :,-1
4598,the beginning lagu nya berkelas banget . jadi cinta produk indonesia < 3 : d,1
14298,giveaway lagi nihhhh aku akan jadi karma buat kebaikan yang udh kalian lakuin selama ini dgn cara bagiin parfum yg lg hits ,1
3877,"pks itu salah satu partai yang paling bisa dipercaya karena kerja nya bersih , top banget .",1
3017,"tembak mati saja lgbt , buat apa hidup , nambah-nambah virus saja .",-1
22074,semua anak berlindung di bawah meja masing masingemua anak remuk sampai ke tulang mereka mungkin dapat selamat ,-1
5269,"aku sih tiap beli tiket di traveloka , terpercaya",1
13027,aku tak boleh kalau orang tengok aku buat kerja automatik jadi bodoh,-1
16136,sayangnya aku kemana t t ,-1
23267,vaksin nama menanggulangi covid vaksin bertujuan melatih kekebalan tubuh antibodi memusnahkan virus,-1
565,saya suka sekali dengan pemandangan di setiap sudut dusun bambu dan desain bangunan nya yang cantik . konsep dusun nya sangat bagus sekali namun modern . untuk foto-foto sangat bagus di kebun lavender nya seperti ada di luar negeri . mata dimanjakan dengan pemandangan yang indah sekali . makanan di sini lumayan . disarankan untuk datang hari biasa karena akhir minggu sangat ramai sekali dan tidak bisa menikmati,1
11147,sate nya enak . tidak bau . gulai nya empuk tidak enek . cocok untuk kapan saja . bersama keluarga . atau sendiri . rasanya ngangeni,1
14859,ni kalau suami aku panggil sayang macam ni we're gonna make babies right after ,1
18957,malas nak bermusuh or ade perasaan dendam ke benci dekat sesiapaukauka la tak suka tak suka la hidup masing2 kita se ,-1
12007,kebanyakan masyarakat tidak kecewa dengan pemerintahan jokowi,1
18679,nah maka nya tadi sy stalk akun nya aneh aja pakai ava dan id ganti presiden tp nyamber tuit sy maki2 ternyata ,-1
800,makanan khas sunda rasanya oke agak kotor tempat nya sayang karena cukup ramai pengunjung nya sampai antre . itu sih yang jadi kekurangan nya .,-1
8334,"makanan nya sih standar kalau menurut aku , yang jadi kelebihan nya itu karena menu nya beragam , mulai dari cemilan sampai makanan berat ada .",1
15653,jilake pintu kaca kat opis ni clear namati sakit dahi aku terhantuk hahahaha laju plak tu malu la gilaa hahahahaha,1
3747,"kemarin saya dan teman-teman ke sana wah memang bagus itu tempat nya kopi nya juga enak loh , tapi pas saya dan teman-teman pulang lewat antapani bertemu kafe yang ada barber nya , kebetulan teman saya ingin cukur juga ya sudah kita mampir ke sana tapi tidak disangka dikira mahal karena tempat yang mewah tetapi harga bawah dan rasa kelas atas kaget maka dari itu .",1
10779,"nasi uduk ini ada di jalan rajiman dan buka nya dari sore sampai malam . menu nya sih cukup sederhana , hanya nasi uduk dan berbagai pelengkap nya . biasanya saya makan nasi uduk sama ayam goreng dan sambal , sambal nya enak karena tidak terlalu pedas . untuk harga sih lumayan murah karena nasi uduk ini tergolong makanan kaki lima .",1
22624,maksudnya kl lapar haus panik org boleh menjarah haram pak hukumnya itu nyolong babi dlm keadaan darurat bole ,-1
3580,"bagi anda yang sering datang ke kartika sari juanda , ada baiknya jika anda mencoba restoran madame sari . makanan-makanan nya beragam dan enak . makanan favorit saya yamin dan sapo seafood . pokok nya rekomendasi !",1
8183,tolong minimal ! sampaikan dengan yang berwenang ! toilet dan tempat wudhu . masjid kampus umi kotor sekali ! sangat tidak pantas ! kecewa,-1
14251,jangan ucapkan janji yang tak bisa kamu tepati jangankatakan cinta jikatak tulus dari hati karena akhirnya seseorang newsindravanthoni,-1
23782,coba hubungi chief tegnel swedia beliau sukses membebaskan rakyat penduduk swedia belenggu covid swedia hidup merdeka kehidupan nya pandemi covid biaya vaksin teri,1
14029,walaupun diri ini dah hancur percayalah aku cuba juga untuk membahagiakan orang sekeliling tanpa putus asa itu sahaja ya ,-1
19937,dengerin aku dong ihh kamu tuh gak seksi aiii,-1
4579,"tempat nya yang strategis , lokasi nya juga mudah dijangkau , salah satu resto yang suasana nya sangat nyaman dan sedikit nuansa tempo dulu . apple crumble ataupun pastry lainnya di counter dengan nama yang agak sulit diucapkan tapi rasanya tetap enak",1
1717,selama iblis binatang ini jadi kapolri jangan berharap ada keadilan terhadap islam dia ini pki berkedok islam .,-1
13369,izinkan aku berbahagia karena aku serius bisa buat photocard sendiri lel ,1
17524,aku just berpegang teguh pd ungkapan kau setia jodoh kau akn setia kalau dicurang satu hari nnti mesti akan te ,1
20547,ini tim bagus dan memberikan harapan bagi masadepan timnas indonesiaelama 90 menit mrk hanya 6 kali salah dan 3 mjd ,1
19749,mau dibantah oleh siapapunby mampu mengawinkan dua stabilitas ekonomi dan politik yang demokratis ,1
7587,"gue sejujur nya masih kecewa sama drama are kamu human to . pertama , main chara perempuan nya apa banget . kedua , tidak ada latar belakang yang jelas kenapa younghoon sangat turut banget sama human nam shin . ketiga , nam shinny dibuat jahanam banget padahal sesungguhnya dia posisi yang paling menderita .",-1
1448,"bima arya bukan nya bikin bogor lebih bagus malah sebaliknya , benci sama dia .",-1
9016,"pilihan menu nya sebenarnya biasa saja , tetapi yang membuat nya menjadi luar biasa adalah suasana makan nya . anda dapat memilih makan dengan suasana food court yang luas disertai pemandangan taman bunga tentunya dengan modal yang terbatas atau bisa juga makan dengan suasana masuk di ruangan bak kepompong dengan pemandangan berbagai macam tumbuhan atau bisa juga makan di gazebo tengah danau di mana .",1
1977,saya jadi semakin tidak suka jokowi,-1
2295,resto yang tempat nya masuk ke gang ini sangat rekomendasi ini resto wajib yang harus kita ku njungi sekeluarga kalau kita ke bandung yang yang murah makanan nya enak banget ayam goreng menggunakan areng sangat cocok untuk keluarga,1
20305,hahahah biarkan mereka,1
15614,aku menguap lebih 10 kali kot hahaha,1
20665,betapa kita sgt beruntung masih boleh mkn sdp dan mendapatkan makanan tapi lihat la mereka hanya memakan biskut ker ,-1
